study.name,group,n,mpre,sdpre,mpos,sdpos,post,control,outcome,time_wk,treats
Rummel_Bitc.,2,10,83.31,14.24,95.77,5.12,1,FALSE,1,1,2
Rummel_Bitc.,2,10,83.31,14.24,91.52,10.35,2,FALSE,1,4,2
Rummel_Bitc.,3,11,84.77,9.12,96.22,6.3,1,FALSE,1,1,2
Rummel_Bitc.,3,11,84.77,9.12,92.38,8.19,2,FALSE,1,4,2
Rummel_Bitc.,4,11,90.49,8.94,90.73,5.62,1,TRUE,1,1,2
Rummel_Bitc.,4,11,90.49,8.94,90.91,7.11,2,TRUE,1,4,2
Seiff_ElSak,1,25,21.6,2.96,36.62,2.19,1,FALSE,1,1,9
Seiff_ElSak,2,23,18.84,2.9935,21.24,2.5304,1,TRUE,1,1,9
Sheen_a,1,31,53.1,19.8,66.3,21.4,1,FALSE,1,0,2
Sheen_a,1,31,53.1,19.8,64.9,19.8,2,FALSE,1,4,2
Sheen_a,2,32,57.6,21,73.9,19.3,1,FALSE,1,0,2
Sheen_a,2,32,57.6,21,78.8,18.4,2,FALSE,1,4,2
Sheen_a,3,28,57.3,21.4,63.9,24.4,1,TRUE,1,0,2
Sheen_a,3,28,57.3,21.4,63.9,22.8,2,TRUE,1,4,2
Sheen_b,1,31,44.1,11.9,58.3,15.3,1,FALSE,1,0,1
Sheen_b,1,31,44.1,11.9,57.5,14.4,2,FALSE,1,4,1
Sheen_b,2,32,49.6,16.9,65.4,16.3,1,FALSE,1,0,1
Sheen_b,2,32,49.6,16.9,69.4,15.3,2,FALSE,1,4,1
Sheen_b,3,28,48.3,14.2,52.1,15.6,1,TRUE,1,0,1
Sheen_b,3,28,48.3,14.2,51.2,16.2,2,TRUE,1,4,1
Sheen_etal,1,22,60.2,13.1,77.5,13.6,1,FALSE,1,1,2
Sheen_etal,1,22,60.2,13.1,78,13.9,2,FALSE,1,4,2
Sheen_etal,2,23,57,14.4,62.7,21.8,1,FALSE,1,1,2
Sheen_etal,2,23,57,14.4,67,17.7,2,FALSE,1,4,2
Sheen_etal,3,19,53,14.3,62.8,16,1,TRUE,1,1,2
Sheen_etal,3,19,58.9,13.1,67.2,14.3,2,TRUE,1,4,2
Sheen_etal,1,22,60.2,13.1,77.5,13.6,1,FALSE,2,1,2
Sheen_etal,1,22,60.2,13.1,78,13.9,2,FALSE,2,4,2
Sheen_etal,2,23,57,14.4,62.7,21.8,1,FALSE,2,1,2
Sheen_etal,2,23,57,14.4,67,17.7,2,FALSE,2,4,2
Sheen_etal,3,16,56.4,14.8,63.3,16.3,1,TRUE,2,1,2
Sheen_etal,3,16,54.7,11.4,71.9,9.01,2,TRUE,2,4,2
Sheen_etal,1,23,55.9,11.9,67.4,13.4,1,FALSE,3,1,2
Sheen_etal,1,23,55.9,11.9,67.9,11.6,2,FALSE,3,4,2
Sheen_etal,2,22,59,16.3,75.9,14.9,1,FALSE,3,1,2
Sheen_etal,2,22,59,16.3,73.4,13,2,FALSE,3,4,2
Sheen_etal,3,19,53,14.3,62.8,16,1,TRUE,3,1,2
Sheen_etal,3,19,58.9,13.1,67.2,14.3,2,TRUE,3,4,2
Sheen_etal,1,23,55.9,11.9,67.4,13.4,1,FALSE,4,1,2
Sheen_etal,1,23,55.9,11.9,67.9,11.6,2,FALSE,4,4,2
Sheen_etal,2,22,59,16.3,75.9,14.9,1,FALSE,4,1,2
Sheen_etal,2,22,59,16.3,73.4,13,2,FALSE,4,4,2
Sheen_etal,3,16,56.4,14.8,63.3,16.3,1,TRUE,4,1,2
Sheen_etal,3,16,54.7,11.4,71.9,9.01,2,TRUE,4,4,2
Shint_Ellis,1,13,0.34,0.37,0.72,0.34,1,FALSE,1,2,1
Shint_Ellis,1,13,0.34,0.37,0.39,0.36,2,FALSE,1,2,1
Shint_Ellis,2,15,0.37,0.38,0.54,0.36,1,FALSE,1,2,1
Shint_Ellis,2,15,0.37,0.38,0.49,0.36,2,FALSE,1,2,1
Shint_Ellis,3,16,0.32,0.37,0.28,0.36,1,TRUE,1,2,1
Shint_Ellis,3,16,0.32,0.37,0.35,0.32,2,TRUE,1,2,1
Sob_Taybi,1,15,15.05,2,15.93,1.951,1,FALSE,1,2,1
Sob_Taybi,2,15,15.18,1.56,16.21,1.858,1,FALSE,1,2,1
Sob_Taybi,3,15,15.03,1.569,15.25,1.742,1,TRUE,1,2,1
Stefan_Revesz,1,30,3.4,0.89,3.5,1,1,FALSE,1,0,2
Stefan_Revesz,1,30,3.4,0.89,3.6,0.89,2,FALSE,1,2,2
Stefan_Revesz,1,30,0.97,1.07,2.93,1.41,1,FALSE,2,0,2
Stefan_Revesz,1,30,0.97,1.07,3.13,1.43,2,FALSE,2,2,2
Stefan_Revesz,2,30,2.9,1.27,3.67,0.92,1,FALSE,1,0,2
Stefan_Revesz,2,30,2.9,1.27,3.83,0.59,2,FALSE,1,2,2
Stefan_Revesz,2,30,1.13,1.55,3.1,1.47,1,FALSE,2,0,2
Stefan_Revesz,2,30,1.13,1.55,3.33,1.18,2,FALSE,2,2,2
Stefan_Revesz,3,29,2.69,1.34,3.38,1.11,1,TRUE,1,0,2
Stefan_Revesz,3,29,2.69,1.34,3.14,1.3,2,TRUE,1,2,2
Stefan_Revesz,3,29,1.72,1.51,1.17,1.6,1,TRUE,2,0,2
Stefan_Revesz,3,29,1.72,1.51,1.48,1.64,2,TRUE,2,2,2
Sun,1,11,0.356987,0.1948038,0.204421,0.1588429,1,FALSE,1,3,5
Sun,2,12,0.26616,0.1615753,0.260022,0.1479377,1,FALSE,1,3,5
Sun,3,10,0.30681,0.1613508,0.287568,0.104496,1,TRUE,1,3,5
Tanveer.etal,1,10,10.448,4.53,5.398,1.84396,1,FALSE,1,0,1
Tanveer.etal,1,10,10.448,4.53,6.44,3.4307,2,FALSE,1,2,1
Tanveer.etal,2,10,10.259,1.8556,7.085,3.03298,1,FALSE,1,0,1
Tanveer.etal,2,10,10.259,1.8556,8.596,3.528,2,FALSE,1,2,1
